Row,avg_iac_files_per_commit,Ratio_out_of_cofiles_developers,file_nb_parameters,file_num_ExternalModules,Graph_History_std_degree_centrality,Graph_ContentSimilarity_network_density
557,4,1,3,0,0.45,0.84
558,21,0.5,3,0,0.45,0.84
559,71.33,0.5,1,2,0.4,0.84
560,64.5,0.5,0,3,0.4,0.84
561,53.14,0.05,0,2,0.45,0.84
562,151,0.03,0,3,0.45,0.84
563,151,0.03,0,3,0.45,0.84
564,23.33,0.02,0,2,0.45,0.84
565,44.75,0.04,0,2,0.41,0.84
566,33.5,0.04,0,2,0.45,0.84
567,48.6,0.05,0,2,0.41,0.84
568,44.33,0.03,0,2,0.45,0.84
569,60.5,0.05,0,2,0.41,0.84
570,44.33,0.03,0,2,0.45,0.84
571,42,0.05,0,2,0.44,0.84
572,151,0.03,4,0,0.45,0.84
573,161.5,0.05,2,2,0.4,0.84
574,122.33,0.05,0,3,0.4,0.84
575,48.14,0.05,0,2,0.45,0.84
576,151,0.03,0,3,0.45,0.84
577,151,0.03,0,4,0.45,0.84
578,151,0.03,0,3,0.45,0.84
579,3,0.5,0,1,0.45,0.84
580,37.5,0.05,0,2,0.45,0.84
581,38,0.07,0,2,0.44,0.84
582,4,1,3,0,0.45,0.84
583,21,0.5,3,0,0.45,0.84
584,71.33,0.5,1,2,0.4,0.84
585,64.5,0.5,0,3,0.4,0.84
586,5,0.02,0,2,0.45,0.84
587,57,0.04,0,2,0.41,0.84
588,151,0.03,0,3,0.45,0.84
589,7,0.04,0,2,0.45,0.84
590,4,0.5,0,1,0.45,0.84
591,151,0.03,0,3,0.45,0.84
592,1,0.02,0,2,0.45,0.84
593,55,0.04,0,2,0.41,0.84
594,151,0.03,0,1,0.45,0.84
595,151,0.03,0,3,0.45,0.84
596,3,1,4,0,0.45,0.84
597,20.5,0.5,4,0,0.45,0.84
598,71,0.5,2,2,0.4,0.84
599,64.25,0.5,0,3,0.4,0.84
600,151,0.03,0,5,0.45,0.84
601,85.5,0.03,0,5,0.45,0.84
602,151,0.03,0,3,0.45,0.84
603,5,0.02,0,2,0.45,0.84
604,57,0.04,17,0,0.41,0.84
605,38.33,0.04,0,2,0.4,0.84
606,151,0.03,0,1,0.45,0.84
607,76.5,0.04,0,2,0.45,0.84
608,24.5,0.04,0,2,0.45,0.84
609,32.18,0.05,0,2,0.41,0.84
610,151,0.03,0,3,0.45,0.84
611,15.44,0.05,0,2,0.45,0.84
612,24.8,0.07,0,2,0.41,0.84
613,31.71,0.05,0,2,0.45,0.84
614,32.75,0.07,0,2,0.44,0.84
615,22.14,0.04,0,2,0.45,0.84
616,54.33,0.04,0,2,0.45,0.84
617,76,0.03,0,3,0.45,0.84
618,151,0.03,0,3,0.45,0.84
619,80.5,0.02,0,2,0.45,0.84
620,54,0.02,0,2,0.45,0.84
621,151,0.03,0,3,0.45,0.84
622,5,0.03,0,2,0.45,0.84
623,151,0.03,0,3,0.45,0.84
624,151,0.03,0,3,0.45,0.84
625,151,0.03,0,3,0.45,0.84
626,151,0.03,0,3,0.45,0.84
627,44.38,0.07,0,2,0.45,0.84
628,39.56,0.07,0,2,0.45,0.84
629,10,0,0,2,0.45,0.84
630,15.33,0.02,0,2,0.44,0.84
631,10.73,0.03,16,1,0.45,0.82
632,10.57,0.03,14,1,0.46,0.82
633,10.21,0.03,18,1,0.46,0.82
634,9.92,0.03,18,1,0.46,0.82
635,9.92,0.03,18,1,0.46,0.82
636,9.67,0.04,18,1,0.46,0.82
637,16.5,0.04,5,0,0.45,0.82
638,19.25,0.01,4,0,0.45,0.82
639,19,0.01,17,0,0.45,0.82
640,19.5,0.01,8,1,0.45,0.82
641,17.14,0.01,8,1,0.46,0.82
