Row,iac_file_churn,files_num_normalized_resources,iac_file_dependency,nb_files,nb_noniac_files,avg_files_per_commit,nb_content_sim_files,nb_path_sim_files,Ratio_out_of_cofiles_developers,file_nb_parameters,file_nb_variables,file_nb_resources,Graph_History_network_density,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_ContentSimilarity_std_degree_centrality,Graph_ContentSimilarity_network_density,Graph_ContentSimilarity_closeness_centrality,Graph_PathSimilarity_network_density,Graph_PathSimilarity_Degree_centrality
144,33,0.14,0,127,30,18.27,2,64,0.04,0,0,1,0.4,0.4,0.82,0.27,0.93,0.95,0.66,2.01
145,11,0.03,2,125,45,16.18,5,51,0.17,24,23,6,0.65,0.01,0.94,0.27,0.93,0.99,1.01,2.01
146,2,0.03,2,125,45,16.17,9,51,0.16,24,23,6,0.65,0.01,0.94,0.27,0.93,0.99,1.01,2.01
147,2,0.03,2,131,46,16.17,9,57,0.18,24,23,6,0.6,0.09,0.95,0.27,0.93,0.99,0.94,2.01
148,2,0.03,2,141,52,16.18,9,67,0.17,24,23,6,0.52,0.21,0.96,0.27,0.93,0.99,0.83,2.01
149,12,0.03,2,141,52,16.18,9,67,0.17,24,23,6,0.52,0.21,0.96,0.27,0.93,0.99,0.83,2.01
150,2,0.03,2,141,52,16.17,9,67,0.17,24,23,6,0.52,0.21,0.96,0.27,0.93,0.99,0.83,2.01
151,8,0.03,2,141,52,16.17,9,67,0.16,24,23,6,0.52,0.21,0.96,0.27,0.93,0.99,0.83,2.01
152,2,0.03,2,145,56,16.17,9,71,0.18,26,23,6,0.5,0.25,0.96,0.27,0.93,0.99,0.8,2.01
153,9,0.03,2,145,56,16.17,10,71,0.18,26,23,6,0.49,0.26,0.96,0.27,0.93,0.99,0.8,2.01
154,76,0.02,2,145,56,16.16,11,71,0.18,26,26,6,0.49,0.26,0.96,0.27,0.93,0.99,0.8,2.01
155,48,0.02,2,145,56,16.17,11,71,0.17,26,26,6,0.48,0.27,0.96,0.27,0.93,0.99,0.8,2.01
156,4,0.02,2,145,56,16.17,16,71,0.19,26,26,6,0.48,0.27,0.96,0.27,0.93,0.99,0.8,2.01
157,137,0.02,2,154,65,16.17,16,74,0.19,26,15,5,0.42,0.38,0.97,0.27,0.93,0.99,0.72,2.01
158,4,0.04,4,118,38,20.53,6,50,0.11,10,1,3,0.65,0,0.9,0.27,0.93,0.96,1.01,2.01
159,22,0.04,4,118,38,20.52,8,50,0.12,10,1,3,0.65,0,0.9,0.27,0.93,0.96,1.01,2.01
160,16,0.04,4,118,38,20.53,20,50,0.13,11,2,4,0.65,0,0.9,0.27,0.93,0.96,1.01,2.01
161,32,0.05,0,118,38,21.21,4,50,0.12,15,1,5,0.65,0,0.9,0.27,0.93,0.98,1.01,2.01
162,17,0.05,0,118,38,21.22,19,50,0.13,16,2,6,0.65,0,0.9,0.27,0.93,0.98,1.01,2.01
163,8,0.05,2,120,40,22.8,2,50,0.12,4,3,3,0.65,0.01,0.91,0.27,0.93,0.96,1.01,2.01
164,14,0.05,0,125,45,20.49,2,50,0.12,7,4,3,0.65,0.01,0.94,0.27,0.93,0.98,1.01,2.01
165,17,0.05,0,125,45,20.5,10,50,0.13,8,5,4,0.65,0.01,0.94,0.27,0.93,0.98,1.01,2.01
166,4,0.04,4,118,38,19.73,6,50,0.14,10,1,3,0.65,0,0.9,0.27,0.93,0.97,1.01,2.01
167,22,0.04,4,118,38,19.72,8,50,0.14,10,1,3,0.65,0,0.9,0.27,0.93,0.97,1.01,2.01
168,17,0.04,4,118,38,19.73,20,50,0.15,11,2,4,0.65,0,0.9,0.27,0.93,0.97,1.01,2.01
169,14,0.04,2,120,40,22.87,2,50,0.12,8,3,3,0.65,0.01,0.91,0.27,0.93,0.96,1.01,2.01
170,11,0.05,1,89,12,18.79,2,51,0.06,5,5,3,0.65,0,0.75,0.27,0.93,0.98,1.01,2.01
171,3,0.05,1,89,12,18.76,2,51,0.04,5,5,3,0.65,0,0.75,0.27,0.93,0.98,1.01,2.01
172,2,0.05,1,95,13,18.75,2,57,0.07,5,5,3,0.6,0.08,0.76,0.27,0.93,0.98,0.94,2.01
173,2,0.05,1,105,19,18.81,2,67,0.06,5,5,3,0.52,0.21,0.8,0.27,0.93,0.98,0.83,2.01
174,25,0.05,1,105,19,18.71,2,67,0.06,6,6,3,0.52,0.21,0.8,0.27,0.93,0.98,0.83,2.01
175,12,0.05,1,105,19,18.72,3,67,0.05,6,6,3,0.52,0.22,0.81,0.27,0.93,0.98,0.83,2.01
176,22,0.03,1,105,19,18.8,7,67,0.06,19,14,6,0.52,0.22,0.81,0.27,0.93,0.98,0.83,2.01
177,10,0.01,17,90,13,9.73,2,23,0.12,0,0,4,0.65,0,0.76,0.27,0.93,0.98,1.01,2.01
178,4,0.01,17,100,19,9.77,4,33,0.09,0,0,4,0.57,0.14,0.8,0.27,0.93,0.98,0.89,2.01
179,52,0.01,17,108,23,9.79,5,41,0.08,0,0,4,0.5,0.24,0.81,0.27,0.93,0.98,0.81,2.01
180,17,0.01,17,128,31,9.83,5,61,0.06,0,0,4,0.4,0.4,0.83,0.27,0.93,0.98,0.66,2.01
181,28,0,0,89,12,50.5,2,5,0,3,0,0,0.65,0,0.75,0.27,0.93,0.93,1.01,2.01
182,3,0,0,92,15,50.09,2,5,0.04,3,0,0,0.61,0.07,0.76,0.27,0.93,0.93,0.97,2.01
183,21,0.05,2,104,24,13.19,1,50,0.04,8,2,5,0.65,0,0.82,0.27,0.93,0.99,1.01,2.01
184,2,0.05,2,104,24,13.18,1,50,0.04,8,2,5,0.65,0,0.82,0.27,0.93,0.99,1.01,2.01
185,3,0.05,2,135,36,13.2,1,81,0.04,8,0,5,0.43,0.35,0.85,0.27,0.93,0.99,0.71,2.01
186,4,0.05,2,135,36,13.19,1,81,0.04,8,0,5,0.43,0.35,0.85,0.27,0.93,0.99,0.71,2.01
187,40,0.05,2,140,41,13.2,1,86,0.06,8,0,5,0.41,0.38,0.88,0.27,0.93,0.99,0.67,2.01
188,2,0.07,1,121,41,23.93,1,50,0.11,3,1,5,0.65,0.01,0.92,0.27,0.93,0.98,1.01,2.01
189,6,0.07,1,126,46,23.93,1,55,0.12,3,1,5,0.61,0.08,0.94,0.27,0.93,0.98,0.95,2.01
190,26,0.06,1,126,46,23.95,1,55,0.13,3,1,5,0.61,0.08,0.94,0.27,0.93,0.98,0.95,2.01
191,4,0.02,7,118,38,15.47,7,51,0.17,36,1,5,0.65,0,0.9,0.27,0.93,0.99,1.01,2.01
192,74,0.02,7,118,38,15.47,8,51,0.14,36,1,5,0.65,0,0.9,0.27,0.93,0.99,1.01,2.01
193,17,0.02,7,118,38,15.47,25,51,0.15,37,2,4,0.65,0,0.9,0.27,0.93,0.99,1.01,2.01
194,14,0.05,0,118,38,26.67,5,51,0.1,7,2,3,0.65,0,0.9,0.27,0.93,0.97,1.01,2.01
195,33,0.05,0,118,38,26.68,12,51,0.11,8,3,4,0.65,0,0.9,0.27,0.93,0.97,1.01,2.01
196,133,0.03,2,120,40,22.1,6,50,0.12,14,21,6,0.65,0.01,0.91,0.27,0.93,0.98,1.01,2.01
197,16,0.03,2,120,40,22.09,6,50,0.12,14,21,6,0.65,0.01,0.91,0.27,0.93,0.98,1.01,2.01
198,9,0.03,2,120,40,22.08,6,50,0.12,14,21,6,0.64,0.03,0.91,0.27,0.93,0.98,1.01,2.01
199,28,0.03,2,120,40,22.08,9,50,0.12,14,21,6,0.64,0.03,0.91,0.27,0.93,0.98,1.01,2.01
200,2,0.03,2,120,40,22.09,14,50,0.14,14,21,6,0.64,0.03,0.91,0.27,0.93,0.98,1.01,2.01
201,139,0.04,2,130,50,22.09,14,54,0.13,14,10,5,0.53,0.2,0.94,0.27,0.93,0.98,0.89,2.01
