Row,nb_noniac_files,nb_path_sim_files,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_ContentSimilarity_closeness_centrality,Graph_PathSimilarity_Degree_centrality
207,1.000880988,-0.180817902,1.613089134,1.719814816,0.040132007,0.33700345
208,1.000880988,-0.180817902,1.613089134,1.719814816,0.040132007,0.33700345
209,1.000880988,-0.180817902,1.64121409,1.719814816,0.040132007,0.33700345
210,1.000880988,-0.180817902,1.64121409,1.719814816,0.040132007,0.33700345
211,1.000880988,-0.180817902,1.64121409,1.719814816,0.040132007,0.33700345
212,0.415996219,-0.476094876,-0.583805968,1.04001734,-0.297981111,0.33700345
213,0.415996219,-0.476094876,-0.583805968,1.04001734,-0.297981111,0.33700345
214,0.593057688,-0.368628827,0.768853768,1.373494932,-0.297981111,0.33700345
215,0.867027144,-0.308841251,1.666583572,1.44172693,-0.297981111,0.33700345
216,0.894700398,-0.308841251,1.728892925,1.44172693,-0.297981111,0.33700345
217,1.000880988,-0.498901255,-0.583805968,1.790632457,0.040132007,0.33700345
218,0.948657661,-0.476094876,-0.583805968,1.719814816,0.893651281,0.33700345
219,0.974977729,-0.348336838,0.989666112,1.719814816,0.893651281,0.33700345
220,1.124656268,-0.163690709,1.64121409,1.790632457,0.893651281,0.33700345
221,1.217539311,-0.050773167,1.787677329,1.861970631,0.893651281,0.33700345
222,1.217539311,-0.050773167,1.787677329,1.861970631,0.893651281,0.33700345
223,-0.256048362,-2.856633307,-0.889847408,0.594447547,-1.227434095,0.33700345
224,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
225,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
226,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
227,-0.256048362,-0.498901255,-0.889847408,0.532802776,0.040132007,0.33700345
228,-0.256048362,-0.498901255,-0.583805968,0.532802776,0.040132007,0.33700345
229,-0.256048362,-3.931942194,-0.889847408,0.594447547,-0.297981111,0.33700345
230,-0.256048362,-1.460666676,-0.889847408,0.532802776,-0.587564514,0.33700345
231,-0.256048362,-1.460666676,-0.313604813,0.594447547,-0.587564514,0.33700345
232,-0.256048362,-1.308805233,-0.583805968,0.656591958,-1.381270784,0.33700345
233,-0.256048362,-1.262369592,-0.889847408,0.532802776,-0.587564514,0.33700345
234,-0.256048362,-1.262369592,-0.583805968,0.532802776,-0.587564514,0.33700345
235,-0.256048362,-1.262369592,-0.074755159,0.594447547,-0.587564514,0.33700345
236,0.867027144,-0.476094876,-0.583805968,1.579736611,-0.297981111,0.33700345
237,0.867027144,-0.498901255,-0.583805968,1.579736611,-0.297981111,0.33700345
238,0.810192052,-0.498901255,-0.889847408,1.510473775,0.434418745,0.33700345
239,0.810192052,-0.498901255,-0.889847408,1.510473775,0.434418745,0.33700345
240,-0.256048362,-2.856633307,-0.889847408,0.532802776,-1.227434095,0.33700345
241,-0.256048362,-0.498901255,-0.889847408,0.532802776,0.040132007,0.33700345
242,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
243,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
244,0.867027144,-0.498901255,-0.583805968,1.579736611,-0.297981111,0.33700345
245,-0.256048362,-1.460666676,-0.889847408,0.594447547,-0.297981111,0.33700345
246,0.075607936,-1.017756765,1.305626508,0.78238446,-0.297981111,0.33700345
247,0.256491669,-0.757158562,1.689486735,0.846034926,-0.297981111,0.33700345
248,1.000880988,-0.498901255,-0.583805968,1.790632457,0.434418745,0.33700345
249,1.000880988,-0.498901255,-0.583805968,1.790632457,0.434418745,0.33700345
250,1.000880988,-0.476094876,-0.313604813,1.790632457,0.434418745,0.33700345
251,1.124656268,-0.368628827,0.885623883,1.861970631,0.434418745,0.33700345
252,1.124656268,-0.368628827,0.885623883,1.861970631,0.434418745,0.33700345
253,0.867027144,-0.498901255,-0.583805968,1.579736611,-0.297981111,0.33700345
254,-0.256048362,-1.460666676,-0.889847408,0.532802776,-0.587564514,0.33700345
255,-0.256048362,-1.460666676,-0.889847408,0.594447547,-0.587564514,0.33700345
256,0.338537926,-0.431846014,1.827578391,0.846034926,-0.587564514,0.33700345
257,-1.768305567,-2.856633307,-0.889847408,-0.332735403,-1.227434095,0.33700345
258,0.894700398,-0.476094876,-0.583805968,1.649516579,0.893651281,0.33700345
259,0.894700398,-0.476094876,-0.583805968,1.649516579,0.893651281,0.33700345
260,0.92190437,-0.348336838,0.885623883,1.649516579,0.893651281,0.33700345
261,1.076240052,-0.163690709,1.613089134,1.719814816,0.893651281,0.33700345
262,1.076240052,-0.163690709,1.613089134,1.719814816,0.893651281,0.33700345
263,1.076240052,-0.163690709,1.613089134,1.719814816,0.893651281,0.33700345
264,1.171727324,-0.097744309,1.710180408,1.861970631,0.893651281,0.33700345
265,1.171727324,-0.097744309,1.710180408,1.861970631,0.893651281,0.33700345
266,1.171727324,-0.097744309,1.710180408,1.861970631,0.893651281,0.33700345
267,1.171727324,-0.097744309,1.710180408,1.861970631,0.893651281,0.33700345
268,1.171727324,-0.097744309,1.728892925,1.861970631,0.893651281,0.33700345
269,1.171727324,-0.097744309,1.728892925,1.861970631,0.893651281,0.33700345
270,1.171727324,-0.097744309,1.728892925,1.861970631,0.893651281,0.33700345
271,-0.256048362,-1.516125888,-0.889847408,0.532802776,-0.587564514,0.33700345
272,1.000880988,-0.476094876,-0.583805968,1.790632457,0.893651281,0.33700345
273,1.000880988,-0.476094876,-0.583805968,1.790632457,0.893651281,0.33700345
274,1.026382889,-0.348336838,0.885623883,1.861970631,0.893651281,0.33700345
275,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
276,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
277,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
278,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
279,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
280,1.262169912,-0.097744309,1.710180408,1.933830468,0.893651281,0.33700345
281,1.262169912,-0.097744309,1.710180408,1.933830468,0.893651281,0.33700345
282,1.262169912,-0.097744309,1.710180408,1.933830468,0.893651281,0.33700345
283,1.262169912,-0.097744309,1.728892925,1.933830468,0.893651281,0.33700345
284,1.262169912,-0.097744309,1.728892925,1.933830468,0.893651281,0.33700345
285,1.262169912,-0.097744309,1.728892925,1.933830468,0.893651281,0.33700345
286,1.262169912,-0.097744309,1.728892925,1.933830468,0.893651281,0.33700345
287,1.262169912,-0.097744309,1.728892925,1.933830468,0.893651281,0.33700345
288,-0.256048362,-0.498901255,-0.889847408,0.532802776,0.434418745,0.33700345
